# synset_id	lemma	example
00002684-n	놈	암 ～. 큰 ～. 무슨 ～의 얘기가 그렇게도 길까. 망할 ～의 세상.
00003553-n	전부	～ 가져갔다 ～ 다 말하여라.
00003553-n	전반	～에 걸쳐서 잘 되었다.
00003553-n	전적	～으로 찬성이다.
00007846-n	인간	～의 존엄성. ～의 본성은 착한 것이라고도 하고 악한 것이라고도 한다.
00007846-n	인	삼십 ～.
00007846-n	사람	～을 기르다. ～이 되다. 된 ～.
00007846-n	인물	점잖은 ～. 하찮은 ～.
00015388-n	미물	사람이 효도를 모르면 ～만도 못하다던데….
00021265-n	영양분	식물의 ～으로 질소, 인산, 칼리가 주요하다.
00022903-n	놈	암 ～. 큰 ～. 무슨 ～의 얘기가 그렇게도 길까. 망할 ～의 세상.
00023271-n	인식	～ 과정. ～ 능력. ～ 대상. ～ 부족. 바른 ～. 잘못 ～되다.
00023271-n	경험	～을 쌓다. ～을 얻다. 풍부한 ～을 살려서 잘 해 보아라.
00026192-n	마음	기쁜 ～. 괴로운 ～. ～이 상하다.
00026192-n	기분	목욕하고 새 옷으로 갈아입으니 ～이 한결 상쾌하다. ～ 좋은 일. ～이 나쁘다.
00026192-n	감정	지는 낙엽에도 눈물짓는 ～이 풍부한 문학 소녀. ～이 메마른 목석 같은 사나이.
00027807-n	자세	바른 ～.
00027807-n	복장	～이 단정하다.
00027807-n	외형	～으로 보면 개와 늑대는 구별하기 어렵다.
00027807-n	맵시	～ 있는 몸매. ～ 있는 옷. ～가 나다. 절을 ～ 있게 한다.
00027807-n	모양	여러 사람 앞에 ～이 말이 아니었다.
00027807-n	꼴	～이 말이 아니다. ～이 사납다. 보기 싫은 ～.
00027807-n	용모	～가 번듯하다.
00027807-n	짝	점잖은 체면에 그게 무슨 ～이냐?
00028270-n	성상	사람마다 ～이 다르다.
00028270-n	세월	～이 빠르다. ～은 물과 같이 흘러가지만.
00029677-n	길	오는 ～에 그를 만났다. 가는 ～에 들려 보렴. 한글학회의 걸어온 ～.
00029677-n	과정	발달 ～. 성장 ～.
00029677-n	경로	역사의 발전 ～.
00030358-n	소위	지금 너의 ～가 너무 야박하지 않느냐? 그 놈들의 ～인 줄 알았다.
00030358-n	짓	하는 ～이 밉다.
00031264-n	통	자네도 그와 한 ～이 되었나?
00031264-n	무리	～를 짓다.
00031921-n	인연	돈과는 ～이 멀다.
00031921-n	관련	밀접한 ～. 이 사건에 ～된 사람이 얼마나 되나?
00031921-n	동안	친사위가 조카사위가 되었으니 여서나 질서나 ～이 얼마나 되느냐마는
00031921-n	관계	～ 회사. 경제 ～. 외교 ～.
00031921-n	사이	아는 ～. 가까이 지내는 ～. 의가 좋은 ～.
00031921-n	상관	그것이 나와 무슨 ～이 있느냐?
00032613-n	것	남의 ～. 뉘 ～이냐? 새 ～과 헌 ～. 아름다운 ～. 시키는 ～. 책임진 ～. 먹을 ～과 입을 ～. 취할 ～과 버릴 ～.
00032613-n	점령	고지 ～.
00032613-n	손	그의 ～에 들어가지 않게 해야 한다. 그의 ～으로 넘어갔다.
00033020-n	교신	～이 끊기다.
00033615-n	분량	책의 ～이 작다. 막대한 ～.
00033615-n	분량	～이 많다. ～이 적다.
00033615-n	양	가난하여 젖먹이 때부터 ～을 채우지 못하고 자랐다. 술의 ～이 큰 사람.
00033615-n	숱	～이 많다. ～이 적다. 글쓰는 이들에게는 말 ～을 풍요롭게 할 책임이 있다.
00034479-n	짓	하는 ～이 밉다.
00036762-n	공	～이 크다. ～을 세우다.
00036762-n	공적	～을 기리다. ～을 남기다. ～을 쌓다. 불후의 ～.
00036762-n	공로	～를 세우다. ～ 표창. 큰 ～.
00037200-n	명예	돈과 ～. 분에 넘치는 ～. 그 일은 우리의 ～입니다. 조국의 ～를 빛내다.
00037396-n	짓	하는 ～이 밉다.
00040152-n	교환	포로 ～.
00040152-n	교류	경제 ～. 문화 ～. 인사 ～.
00040804-n	거래	～를 트다. ～를 끊다. 은행 ～.
00047745-n	성적	～이 오르다. ～이 떨어지다. 우수한 ～을 거두다.
00052334-n	착지	～자세.
00052500-n	착지	～자세.
00053097-n	결별	～을 선언하다.
00053097-n	고별	～의 말씀.
00053525-n	고별	～의 말씀.
00053806-n	소실	～이 적잖이 많았다.
00056087-n	이민	～을 받아들이다.
00063014-n	등록	사업자 ～. 후보자 ～.
00063652-n	성공	～을 빈다. ～을 축하하다.
00065418-n	성공	～을 빈다. ～을 축하하다.
00067526-n	패배	～를 당했다.
00067526-n	분실	손가방 ～. ～ 공고.
00067526-n	소실	～이 적잖이 많았다.
00067526-n	실추	위신 ～.
00067707-n	실추	위신 ～.
00068901-n	위반	약속 ～. 복장 ～.
00076196-n	실례	～가 많습니다. ～를 무릅쓰고.
00076196-n	결례	～를 용서하십시오.
00076400-v	토하다	공장 굴뚝들은 검은 연기를 토하고 있다.
00076400-v	토하다	먹은 것을 ～. 젖을 ～. 피를 토한다.
00079398-n	거래	～를 트다. ～를 끊다. 은행 ～.
00079398-n	무역	～ 시장. ～ 경쟁. 대외 ～.
00081725-v	고치다	고치기 어려운 병. 한방약으로 오래된 쳇증을 고쳤다.
00082754-n	계승	문화 전통의 ～과 발전. 면면히 ～되어 온 민족의 유구한 역사.
00083585-n	전승	문화의 ～. 기술의 ～.
00090253-n	접수	입학 원서 ～. 수재 의연금(의연품) ～.
00092366-n	경매	～ 기일. ～에 붙이다.
00093483-n	구제	～ 대책. 가난 ～. 빈민 ～.
00093483-n	구호	～ 기관. ～ 단체. ～ 물자. 빈민 ～ 사업. 이재민 ～ 대책.
00093483-n	구급	～ 대책. ～ 방안.
00093483-n	구조	인명 ～.
00094001-n	구제	～ 대책. 가난 ～. 빈민 ～.
00094001-n	구조	인명 ～.
00095502-n	해제	통행금지 ～.
00095971-n	개발	경제 ～. 새로 ～된 광산.
00096211-n	구조	인명 ～.
00096343-n	구조	인명 ～.
00096513-n	구제	～ 대책. 가난 ～. 빈민 ～.
00097504-n	시행	～에 관한 세칙. 법률의 ～을 위한 집행명령.
00097504-n	실행	～에 옮기다.
00097504-n	이행	의무의 ～.
00097504-n	수행	임무 ～.
00097504-n	달성	목표 ～.
00098625-n	힘	그는 누나의 ～으로 고향에서 중학교를 나왔다. 그를 만난다고 해도 아무런 ～이 되어 줄 수 없는 이 마당에….
00098625-n	도움	～을 바라다. ～을 주다.
00106272-n	투하	폭탄 ～.
00112312-n	밀다	손수레를 ～. 등을 밀어 밖으로 내보냈다.
00113726-n	밀다	손수레를 ～. 등을 밀어 밖으로 내보냈다.
00114871-n	끌다	손수레를 ～. 책상을 ～. 트럭을 ～.
00121366-n	전달	명령 ～.
00124617-n	결투	～를 신청하다.
00124880-n	터치	그 문제만은 터치하지 마시오.
00125126-n	마찰	～을 일으키다. 나무와 나무의 ～로 불이 났다.
00126236-n	충돌	자동차의 ～. 의견 ～. 강대국 끼리의 ～.
00126447-n	충돌	자동차의 ～. 의견 ～. 강대국 끼리의 ～.
00140652-n	조작	고속도로 위에서의 핸들 ～은 아주 조금씩 조심스럽게 해야 한다.
00146111-n	교차	～ 지점.
00146277-n	접근	～을 못 하게 하다.
00151689-v	다가오다	시험 날짜가 사흘 앞으로 다가왔다.
00155143-v	오르다	산에 ～.
00155143-v	오르다	산을 ～. 층계를 ～.
00157463-n	노출	감정 ～. 비밀 ～.
00157463-n	노출	알몸 ～. 결점 ～.
00157687-n	노출	감정 ～. 비밀 ～.
00157687-n	노출	알몸 ～. 결점 ～.
00161243-n	발췌	기사 ～. 민요 ～.
00161243-n	선	～에 들다.
00161243-n	고르다	쌀에서 뉘를 ～. 볍씨를 ～. 좋은 것만 골라 가져라.
00161243-n	발탁	그가 해외 지점장으로 ～이 되었다.
00161243-n	선발	미인 ～. 우수 단체 ～. ～ 시험.
00161888-n	발췌	기사 ～. 민요 ～.
00162632-n	내리다	어떻게 판단을 내릴지…. 그만 결론을 내립시다.
00162632-n	결정	마음의 ～. 태도 ～.
00162632-n	결정	회의 날짜 ～. ～ 사항. 총회의 ～을 따르다.
00162632-n	결론	～을 요약하다.
00164345-n	분담	업무 ～. ～ 지도.
00164345-n	배정	인원 ～. 자리 ～.
00164345-n	배당	이익 ～. 주식 ～.
00164579-n	배부	원서 ～. 잡지 ～.
00164579-n	배정	인원 ～. 자리 ～.
00164579-n	배당	이익 ～. 주식 ～.
00165942-n	짓다	아기 이름을 ‘돌쇠’라고 지었다.
00165942-n	짓	하는 ～이 밉다.
00168237-n	조작	고속도로 위에서의 핸들 ～은 아주 조금씩 조심스럽게 해야 한다.
00168658-n	이전	가게 ～.
00171249-n	모략	그의 말은 순전히 ～이다. ～을 일삼다. ～을 당하다. ～에 빠지다.
00171249-n	계략	～을 꾸미다. ～을 짜다.
00171249-n	기도	침략 ～.
00171249-n	계	～를 쓰다. 영문에서 똑똑하고 젊은 사람 백여 명을 뽑아서 ～를 가르치고, 전략을 연습시키니 이 사람들은 ‘사관생도’라 불리었다.
00171618-n	모략	그의 말은 순전히 ～이다. ～을 일삼다. ～을 당하다. ～에 빠지다.
00171618-n	계략	～을 꾸미다. ～을 짜다.
00171618-n	간계	여우의 ～에 호랑이가 그만 넘어가고 말았다.
00172598-n	너스레	～를 주고받다.
00172598-n	모략	그의 말은 순전히 ～이다. ～을 일삼다. ～을 당하다. ～에 빠지다.
00172598-n	계략	～을 꾸미다. ～을 짜다.
00172598-n	간계	여우의 ～에 호랑이가 그만 넘어가고 말았다.
00172598-n	기도	침략 ～.
00172598-n	잔꾀	～를 부리다. ～를 피우다. 그런 ～에 넘어갈 내가 아니다. 학장이란 ～나 부리는 행정가의 타입으로는 안 됩니다.
00172598-n	올무	옥영이가 던진 ～에서 빠져 나온 것을 시원하게 여기는….
00172710-n	모양	그 ～으로 일을 해서는 안 된다.
00172710-n	도리	이젠 어찌 할 ～가 없다.
00172710-n	투	말하는 ～가 귀에 거슬린다. 서둘러 대는 ～가 예사롭지 않다. 달래는 ～로 타일렀다.
00172710-n	길	출세의 ～. 그 ～ 밖에는 별다른 도리가 없었다. 대답할 ～이 없었다. 난관을 극복할 ～을 찾자. 신문의 깨알 같은 글씨는 도저히 읽을 ～이 없었다.
00172710-n	수단	～과 방법을 가리지 않는다. 생산 ～과 노동 ～. 전자계산기의 발달은 통신 ～의 발전에 크게 이바지하였다.
00172710-n	방법	농사 ～. 실험 ～. 저마다 세상을 살아 가는 ～이 있다. 새로운 연구 ～.
00172710-n	방도	그로서는 이 일을 맡아 낼 ～가 없었다.
00172710-n	법	음식 만드는 ～. 옷 짓는 ～. 어른 공경하는 ～.
00173761-n	길	출세의 ～. 그 ～ 밖에는 별다른 도리가 없었다. 대답할 ～이 없었다. 난관을 극복할 ～을 찾자. 신문의 깨알 같은 글씨는 도저히 읽을 ～이 없었다.
00173761-n	수단	～과 방법을 가리지 않는다. 생산 ～과 노동 ～. 전자계산기의 발달은 통신 ～의 발전에 크게 이바지하였다.
00174003-n	도	검술의 ～.
00174003-n	길	출세의 ～. 그 ～ 밖에는 별다른 도리가 없었다. 대답할 ～이 없었다. 난관을 극복할 ～을 찾자. 신문의 깨알 같은 글씨는 도저히 읽을 ～이 없었다.
00174003-n	방법	농사 ～. 실험 ～. 저마다 세상을 살아 가는 ～이 있다. 새로운 연구 ～.
00174003-n	방도	그로서는 이 일을 맡아 낼 ～가 없었다.
00174412-n	처분	빨리 ～을 해라.
00174412-n	처분	행정～.
00177448-n	첩경	성공의 ～은 노력이다.
00177448-n	수단	～과 방법을 가리지 않는다. 생산 ～과 노동 ～. 전자계산기의 발달은 통신 ～의 발전에 크게 이바지하였다.
00177448-n	술	～을 쓰다.
00177448-n	방편	～을 쓰다.
00177448-n	방도	그로서는 이 일을 맡아 낼 ～가 없었다.
00177448-n	편법	～을 쓰다.
00180228-n	결심	굳은 ～. ～은 늦어도 실행은 빨라야 한다.
00180228-n	각오	굳은 ～. ～가 되어 있다. ～를 단단히 하다.
00180228-n	결단	～이 나다. ～을 내다. ～을 내리다.
00181781-n	선거	～ 제도. 국회의원 ～.
00183240-n	선거	～ 제도. 국회의원 ～.
00183240-n	보선	～ 임원.
00192613-n	절약	비용 ～. 시간 ～.
00192910-n	절약	비용 ～. 시간 ～.
00194534-v	벗기다	쇠가죽을 ～. 과실 껍질을 ～. 아낙네들은 삼을 벗기고 있었다.
00196485-n	대신	꿩 ～으로 닭을 잡는다. 대답 ～에 웃음을 짓는다.
00196485-n	대신	절망하는 ～에 새로운 각오를 가졌다.
00201058-n	길	오는 ～에 그를 만났다. 가는 ～에 들려 보렴. 한글학회의 걸어온 ～.
00201516-n	참견	자네는 도대체 뭘 안다고 이렇게 남의 일에 ～인가?
00201516-n	개입	전쟁 ～.
00201516-n	간섭	지나친 ～. ～ 받다. ～에서 벗어나다.
00201923-n	금물	방심은 ～이다.
00202284-n	반발	이번 조치에 대한 국민의 ～이 심하다. ～을 사다.
00202284-n	저항	지하 ～ 세력. 적의 결사적 ～.
00202284-n	반항	의병의 ～이 날로 거세었다. ～을 불러일으키다. 이유 없는 ～.
00202284-n	대항	직장 ～ 경기.
00203020-n	반발	이번 조치에 대한 국민의 ～이 심하다. ～을 사다.
00204814-n	변절	그의 ～을 탓하지 않을 수 없다.
00209943-n	마감	시작과 ～.
00209943-n	마감	서류 ～이 내일이다. ～을 하루 앞두고 있다.
00209943-n	마감	공사가 거의 ～이 되어 간다.
00209943-n	끝	～ 번호. 그의 차례는 ～이었다. 식순의 맨 ～에 만세삼창이 있었다.
00209943-n	만료	임기 ～.
00209943-n	귀결	～이 나다.
00210518-n	마감	시작과 ～.
00210518-n	마감	서류 ～이 내일이다. ～을 하루 앞두고 있다.
00210518-n	마감	공사가 거의 ～이 되어 간다.
00210518-n	끝	～ 번호. 그의 차례는 ～이었다. 식순의 맨 ～에 만세삼창이 있었다.
00211110-n	마감	시작과 ～.
00211110-n	마감	서류 ～이 내일이다. ～을 하루 앞두고 있다.
00211110-n	마감	공사가 거의 ～이 되어 간다.
00213903-n	면제	병역 ～. 세금 ～.
00214148-n	고치다	시간표를 ～. 한자말식 이름을 우리말 이름으로 고쳤다. 소설을 희곡으로 고쳐 썼다.
00216038-n	폐회	～ 선언.
00216174-n	면직	의원 ～. 직권 ～. ～을 당하다.
00216607-n	면직	의원 ～. 직권 ～. ～을 당하다.
00217014-n	멸망	로마 제국의 ～. 인류의 ～은 일어날 것인가?
00217773-n	패망	일제의 ～.
00217773-n	망치다	집안을 망칠 놈. 나라를 ～.
00217773-n	멸망	로마 제국의 ～. 인류의 ～은 일어날 것인가?
00218330-v	태우다	여름 한낮의 태양은 가문 대지를 더욱 태웠다.
00218475-v	마르다	목이 몹시 ～. 침이 마르도록 칭찬을 한다.
00218475-v	말리다	빨래를 ～. 논을 ～.
00218475-v	마르다	논이 ～.
00218753-n	분쇄	무력 도발의 ～.
00219403-v	마르다	목이 몹시 ～. 침이 마르도록 칭찬을 한다.
00219403-v	말리다	빨래를 ～. 논을 ～.
00219403-v	마르다	논이 ～.
00220023-n	살인	～ 행위.
00220409-n	살인	～ 행위.
00220522-n	살인	～ 행위.
00223983-n	몰살	마을 사람 모두가 ～되었다.
00223983-n	도륙	신씨 일문은 반정군에 의해 ～이 되어버렸다.
00226319-n	압축	포위망 ～. 좌우 백관은 노균의 기색에 ～되어 입도 못 벌렸다.
00228283-n	폐지	법률의 ～. 한자 사용의 ～.
00229260-n	마감	시작과 ～.
00229260-n	마감	서류 ～이 내일이다. ～을 하루 앞두고 있다.
00229260-n	마감	공사가 거의 ～이 되어 간다.
00237078-n	정착	훈민정음이 창제됨으로써 전대의 구전문학이 ～되었다.
00237078-n	조성	연구 분위기 ～.
00237078-n	수립	정부 ～. 사업 계획의 ～. 민주 제도의 ～.
00237078-n	성립	타협의 ～. 예산의 ～.
00237078-n	결성	새 정당의 ～을 서두르다.
00237078-n	대다	붓(연필)을 ～. 처음 자식에게 매를 댄 것이다.
00237078-n	건설	새 나라 ～. 복지사회 ～.
00237078-n	편성	학급 ～. 부대 ～.
00239910-n	발족	연구소의 ～. 동창회의 ～을 보다.
00239910-n	개시	공격 ～. 영업 ～. 작업 ～. 결승전 축구 경기는 ～되자 마자 치열한 공방전으로 관중들을 흥분시켰다.
00239910-n	개설	강좌 ～.
00240184-n	대다	붓(연필)을 ～. 처음 자식에게 매를 댄 것이다.
00240938-n	시설	기계 ～. ～ 장치.
00240938-n	설비	운반 ～. 난방 ～.
00243900-v	자르다	허리를 잘쑥 자른 여인의 옷맵시.
00243918-n	동자	그들의 조석 ～를 시키기 위해서 한동안 옥일 데리고 갔던 것인데.
00249852-v	여물다	다복다복 여문 고구마. 알알이 여문 곡식.
00249987-n	진보	기술의 ～. ～된 사상.
00249987-n	발전	나라의 ～. 역사의 ～. 경제적 ～. 농촌의 ～ 된 모습.
00259643-n	대신	꿩 ～으로 닭을 잡는다. 대답 ～에 웃음을 짓는다.
00259643-n	대신	절망하는 ～에 새로운 각오를 가졌다.
00260622-n	개선	처우 ～.
00260622-n	혁신	방법과 내용의 ～이 없이 새로운 시는 창조되지 않는다.
00260622-n	경신	기록 ～.
00260622-n	개혁	체제 ～.
00260622-n	개량	～ 품종. 부엌 구조 ～.
00262743-n	겉치레	실속은 없으면서 ～만 번지르르한 집.
00266806-n	고치다	시간표를 ～. 한자말식 이름을 우리말 이름으로 고쳤다. 소설을 희곡으로 고쳐 썼다.
00266806-n	보수	교량 ～.
00266806-n	개수	제방 ～ 공사. 농로 ～ 작업.
00267522-n	보수	교량 ～.
00272448-n	부패	관공리의 ～. 사회의 ～.
00272448-n	퇴폐	～ 풍조.
00272448-n	타락	～의 구렁텅이.
00273601-n	실추	위신 ～.
00274707-n	변색	그까짓 우스갯소리에 ～까지 할 게 뭐 있겠나?
00276987-n	오염	공장 폐수의 하천 ～은 심각하다.
00280586-n	이동	철새의 ～.
00280853-n	접근	～을 못 하게 하다.
00281132-n	접근	～을 못 하게 하다.
00281462-n	접근	～을 못 하게 하다.
00283951-n	보행	～을 가다. ～을 띄우다.
00284101-n	산보	～를 가다. ～를 나가다.
00284101-n	산책	～을 나서다.
00284409-n	산책	～을 나서다.
00293916-n	달리다	한참 달리고 나니 땀이 났다. 쏜살같이 ～.
00294868-n	기다	가재가 기어 가다. 기는 동물과 나는 동물.
00294868-n	기다	뱀이 ～.
00297062-n	방랑	～ 시인 김 삿갓.
00306426-n	여행	긴 ～을 떠나다.
00308370-n	여행	긴 ～을 떠나다.
00309115-n	여행	긴 ～을 떠나다.
00309115-n	길	오는 ～에 그를 만났다. 가는 ～에 들려 보렴. 한글학회의 걸어온 ～.
00310347-n	여행	긴 ～을 떠나다.
00310516-n	여행	긴 ～을 떠나다.
00310666-n	여행	긴 ～을 떠나다.
00311809-n	행락	백일은 서쪽으로 돌아가고 유수는 동으로 사라지니 부귀와 ～도 한 조각 뜬구름이라….
00312553-n	여행	긴 ～을 떠나다.
00315830-n	이동	철새의 ～.
00315986-n	교통	～의 중심지. ～이 편리하다.
00315986-n	이동	철새의 ～.
00315986-n	이전	가게 ～.
00318035-n	이동	철새의 ～.
00318035-n	길	오는 ～에 그를 만났다. 가는 ～에 들려 보렴. 한글학회의 걸어온 ～.
00322228-n	꾸리다	이삿짐을 ～.
00323262-n	고치다	고치기 어려운 병. 한방약으로 오래된 쳇증을 고쳤다.
00324384-n	상승	～ 일로에 있는 집값.
00325110-n	상승	～ 일로에 있는 집값.
00326440-n	강하	기온 ～. 기압 ～.
00326440-n	강하	낙하산 ～ 훈련.
00327366-n	강하	기온 ～. 기압 ～.
00327366-n	강하	낙하산 ～ 훈련.
00327366-n	저하	사기 ～. 물가 ～. 학력 ～. 체력 ～.
00328015-n	복귀	원대 ～.
00328015-n	대신	절망하는 ～에 새로운 각오를 가졌다.
00328015-n	대신	꿩 ～으로 닭을 잡는다. 대답 ～에 웃음을 짓는다.
00329227-n	흐름	강물의 ～.
00331655-n	이동	철새의 ～.
00331950-n	운신	～도 못 할 좁은 방.
00334509-n	몸짓	어색한 ～.
00334509-n	태도	단정한 ～. 올바른 ～. ～가 점잖다.
00342028-n	회전	자금의 ～이 느리다.
00342314-v	떨어지다	숨이 ～. 정이 ～. 취미가 ～. 입맛이 ～.
00342424-n	회전	자금의 ～이 느리다.
00342755-n	회전	자금의 ～이 느리다.
00343249-n	회전	자금의 ～이 느리다.
00345454-n	회전	자금의 ～이 느리다.
00348252-v	들어가다	휴가에 ～. 전쟁이 소강 상태에 ～. 새 학기에 ～.
00349080-n	서다	사람이 ～. 소가 ～. 앉았다 ～. 소나무가 서 있다. 개의 귀가 ～.
00350030-n	회전	자금의 ～이 느리다.
00354884-n	대신	꿩 ～으로 닭을 잡는다. 대답 ～에 웃음을 짓는다.
00354884-n	대신	절망하는 ～에 새로운 각오를 가졌다.
00356367-n	소비	노력의 소비.
00356367-n	소모	물자 ～. 시간 ～.
00358290-n	밀다	손수레를 ～. 등을 밀어 밖으로 내보냈다.
