# synset_id	definitions
00001740-v	생물이 숨을 들이마시고 내쉼을 통하여 산소를 받아들이어 삭임을 돕고 그 결과 생기는 탄산가스를 밖으로 내보내는 작용	눈 앞에 보이는 형상을 갖춘 일/1/4과 물건/0/1
00002325-v	생물이 숨을 들이마시고 내쉼을 통하여 산소를 받아들이어 삭임을 돕고 그 결과 생기는 탄산가스를 밖으로 내보내는 작용
00002684-n	일정한 형체를 갖춘 모든 물질적 대상
00002724-v	생물이 숨을 들이마시고 내쉼을 통하여 산소를 받아들이어 삭임을 돕고 그 결과 생기는 탄산가스를 밖으로 내보내는 작용	눈 앞에 보이는 형상을 갖춘 일/1/4과 물건/0/1
00003553-n	한데 모은 수효나 양.
00004032-v	생물이 숨을 들이마시고 내쉼을 통하여 산소를 받아들이어 삭임을 돕고 그 결과 생기는 탄산가스를 밖으로 내보내는 작용	눈 앞에 보이는 형상을 갖춘 일/1/4과 물건/0/1
00004258-n	생명을 가지고 스스로 살아 가는 물체. 
00004475-n	생명을 가지고 스스로 살아 가는 물체. 
00005526-v
00006269-n	생명을 가지고 스스로 살아 가는 물체. 
00006484-n	생물체를 조성하는 기본적 단위. 원형질로 된 극히 작은 생활체로, 가운데 세포핵이 있는데 동물의 것은 노출되어 있으나 식물의 것은 세포막의 보호를 받고 있다.
00006802-v
00007328-v	생물이 숨을 들이마시고 내쉼을 통하여 산소를 받아들이어 삭임을 돕고 그 결과 생기는 탄산가스를 밖으로 내보내는 작용	눈 앞에 보이는 형상을 갖춘 일/1/4과 물건/0/1
00007846-n	권리와 의무의 주체인 자연인 or 생각과 말을 하고 기구를 만들어 쓰며 사회를 이루어 사는 동물 or 사람의 됨됨이나 성질	사회의 일원으로서 활동하는 사람	사람을 다른 동물과 구별하여 일컫는 말
00015388-n	스스로 움직이며 살아가는 생물
00018158-v	잠자리에서 일어남.
00019128-n	자연계에 있는 저절로 생긴 물체.
