# synset_id	pos	english_lemmas	korean_lemmas
00001740-v	Verb	breathe, take_a_breath, suspire, respire	호흡하
00002325-v	Verb	respire	호흡하
00002684-n	Noun	physical_object, object	물, 놈
00002724-v	Verb	choke	질식하
00003553-n	Noun	whole, unit	전체, 전적, 전부, 총체, 전반
00004032-v	Verb	suspire, sigh	한숨짓
00004258-n	Noun	living_thing, animate_thing	생물
00004475-n	Noun	being, organism	미생물, 생물
00005526-v	Verb	gasp, puff, heave, pant	헐떡이
00006269-n	Noun	life	생물
00006484-n	Noun	cell	셀, 세포
00006802-v	Verb	chuff, huff, puff	헐떡이
00007328-v	Verb	yawn	하품하
00007846-n	Noun	individual, person, mortal, someone, soul, somebody	인, 인간, 인물, 사람, 인류
00015388-n	Noun	animate_being, brute, animal, creature, fauna, beast	미물, 생물, 조수
00018158-v	Verb	uprise, rise, arise, turn_out, get_up	기상하
00019128-n	Noun	natural_object	자연물
00021265-n	Noun	food, nutrient	영양, 자양, 영양분, 양분, 영양소
00022903-n	Noun	article	물건, 기품, 물, 물품, 물체, 놈
00023271-n	Noun	knowledge, cognition, noesis	학식, 학문, 인식, 알음알이, 인지, 지식, 경험, 식견
00024264-n	Noun	attribute	속성
00026153-v	Verb	tense, tense_up	긴장하
00026192-n	Noun	feeling	감정, 마음, 기분
00027807-n	Noun	form, shape	유형, 폼, 형상, 체형, 형, 자세, 맵시, 형태, 형용, 복장, 꼴, 거푸집, 모양, 짝, 형체, 용모, 외형, 모양새, 모형
00028270-n	Noun	time	시간, 성상, 세월
00029677-n	Noun	process, physical_process	길, 과정, 경로
00030358-n	Noun	human_action, act, deed, human_activity	짓, 법, 소위, 행위
00031264-n	Noun	grouping, group	집단, 무리, 군, 통
00031921-n	Noun	relation	상관, 연고, 관계, 인연, 사이, 동안, 연관, 관련
00032613-n	Noun	possession	재, 소장, 것, 점령, 소유물, 손, 소유, 향유, 점유, 재물
00033020-n	Noun	communication	커뮤니케이션, 교신, 통신
00033615-n	Noun	measure, quantity, amount	수량, 정량, 양, 분량, 숱
00034115-v	Verb	clap, spat	속임질하
00034479-n	Noun	thing	짓
00034939-n	Noun	abort	중단
00035603-v	Verb	bathe	목욕하
00036762-n	Noun	exploit, effort, feat	사적, 공적, 위업, 공, 공로, 업적
00037200-n	Noun	credit	명예
00037396-n	Noun	action	짓, 행위
00040152-n	Noun	give-and-take, interchange, reciprocation	상환, 교류, 교역, 교환
00040804-n	Noun	traffic, dealings	거래
00044455-n	Noun	egression, egress, emergence	출현
00046177-n	Noun	running_away	줄행랑
00047106-n	Noun	performance	작위
00047745-n	Noun	record, track_record	성적
00048374-n	Noun	arrival	도래, 도달, 내도, 당도, 도착
00050887-n	Noun	reappearance, return	귀착
00051192-n	Noun	homecoming, return	귀착
00052334-n	Noun	landing	착륙, 착지
00052500-n	Noun	landing	착륙, 착지
00053097-n	Noun	parting, leave, leave-taking, farewell	결별, 일별, 사별, 작별, 고별
00053525-n	Noun	valediction	고별
00053806-n	Noun	vanishing	소산, 소실
00056087-n	Noun	emigration, out-migration, expatriation	이민
00057486-n	Noun	recession, receding	퇴축, 후퇴, 뒷걸음질
00058608-n	Noun	elopement	도망
00058743-n	Noun	flight, escape	패주, 도주, 도망, 일주, 줄행랑, 탈출
00059552-n	Noun	maneuver, manoeuvre, evasive_action	법
00059989-n	Noun	break, breakout, gaolbreak, prison-breaking, prisonbreak, jailbreak	탈옥
00060201-n	Noun	getaway, lam	도망
00061598-n	Noun	consummation	종결, 완결
00061792-n	Noun	consummation	종결, 완결
00063014-n	Noun	record	기록, 등록
00063095-v	Verb	hatch	부화하
00063652-n	Noun	success	성공, 성사
00064151-n	Noun	megahit, smash_hit, blockbuster	대성공
00064504-n	Noun	strike, bang, hit, smash, smasher	대성공
00064789-n	Noun	home_run, bell_ringer, bull's_eye, mark	대성공
00065216-n	Noun	conquest	정복, 제패, 퇴치, 극복
00065418-n	Noun	flying_colors, flying_colours	성공
00065575-n	Noun	passing, pass, qualifying	합격, 통과, 패스, 급제
00066636-n	Noun	failure	실패, 파탄
00066901-n	Noun	failing, flunk	실패
00067254-n	Noun	cut	결석
00067397-n	Noun	default	결석
00067526-n	Noun	loss	분실, 실추, 소실, 패배, 상실
00067707-n	Noun	capitulation, surrender, fall	실추, 항복, 투항
00068333-n	Noun	relapse, lapsing, reversion, lapse, relapsing, backsliding, reverting	퇴보, 실패
00068901-n	Noun	breach	위반
00069295-v	Verb	secrete, release	분비하
00072068-n	Noun	error, misplay	실책
00072989-v	Verb	eliminate, pass, egest, excrete	배설하, 배출하
00073343-v	Verb	evacuate, void, empty	배출하
00074038-v	Verb	shit, make, take_a_shit, ca-ca, crap, stool, take_a_crap, defecate	변통하
00074790-n	Noun	fuckup, botch, pratfall, blooper, boo-boo, blunder, foul-up, flub, bloomer, bungle, boner	바보짓
00076196-n	Noun	solecism, gaffe, gaucherie, slip, faux_pas	결례, 실례
00076400-v	Verb	sick, disgorge, cast, honk, vomit, purge, upchuck, be_sick, spew, vomit_up, retch, barf, cat, regorge, regurgitate, chuck, throw_up, puke, spue	변통하, 토하, 배출하
00077169-n	Noun	pratfall	엉덩방아
00077419-n	Noun	acquisition	습득, 취득, 획득, 포착
00079018-n	Noun	purchase	매수, 취득, 구입
00079212-n	Noun	repurchase, buyback, redemption	환수
00079398-n	Noun	trading	거래, 무역, 통상, 매매
00081572-n	Noun	buying, purchasing	구입
00081725-v	Verb	cure, heal, bring_around	고치, 치유하, 치료하
00082754-n	Noun	succession, taking_over	계승, 상속, 인계
00083585-n	Noun	heritage, inheritance	전승, 유전
00083729-n	Noun	procurance, procural, procurement	취득, 구입, 획득
00084371-n	Noun	borrowing, adoption	차용, 차입
00087663-n	Noun	awarding, award	재정
00089027-n	Noun	subjugation, conquest, subjection, conquering	제패, 정복, 진압, 퇴치, 극복
00090253-n	Noun	reception, receipt	사수, 수령, 영수, 수납, 수취, 감수, 접수, 입수, 수용, 수수
00092366-n	Noun	vendue, auction, auction_sale	공매, 경매
00092663-n	Noun	bootlegging	밀매
00092847-n	Noun	bootlegging	밀매
00093327-v	Verb	fall_back, regress, recidivate, relapse, lapse, retrogress	원대복귀하
00093483-n	Noun	delivery, rescue, deliverance, saving	구난, 구호, 구급, 구조, 구원, 구제, 구출
00093874-n	Noun	lifesaving	구명
00094001-n	Noun	salvation, redemption	구원, 제도, 구령, 구조, 구제
00095377-v	Verb	stock, sprout	발아하, 싹트
00095502-n	Noun	release, liberation, freeing	해제, 해방
00095971-n	Noun	reformation, reclamation	개발
00096211-n	Noun	salvage	구원, 구난, 구조, 구출
00096343-n	Noun	salvage	구원, 구난, 구조, 구출
00096513-n	Noun	salvation	제도, 구제, 구령, 구원
00097504-n	Noun	execution, carrying_into_action, performance, carrying_out	집행, 달성, 시행, 작위, 실시, 실행, 수행, 이행, 단행
00098625-n	Noun	service	힘, 활동, 시중, 도움, 용역
00100551-v	Verb	exercise, work_out, work	행사하, 사역하, 세공하
00101191-n	Noun	playing	상영
00104539-n	Noun	throw	던지기
00105479-n	Noun	cast, hurl	던지기
00106104-n	Noun	pitch	던지기
00106272-n	Noun	delivery, pitch	투하, 던지기
00106888-n	Noun	shy	던지기
00112312-n	Noun	pushing, push	밀
00113113-n	Noun	pressing, press, pressure	추상
00113726-n	Noun	shove	밀
00114871-n	Noun	drag	견인, 끌
00115667-n	Noun	draft, draught, drawing	추상
00118733-n	Noun	disgorgement, regurgitation, emesis, puking, vomit, vomiting	구토
00121366-n	Noun	transmission, transmittal, transmitting	전달
00122338-n	Noun	mailing, posting	전기
00124617-n	Noun	gunplay, gunfight, shootout	결투, 전투
00124880-n	Noun	contact, physical_contact	접촉, 교접, 터치, 상접
00125126-n	Noun	rub, wipe	마찰
00126236-n	Noun	smash, crash	충돌
00126447-n	Noun	impaction, impingement	충돌
00140652-n	Noun	manipulation, handling	조작
00140751-v	Verb	exchange, switch, switch_over	호환하, 상환하, 교환하, 교체하
00141176-n	Noun	audit	감사
00141396-n	Noun	post-mortem_examination, autopsy, postmortem, post-mortem, necropsy, pm, postmortem_examination	검시
00141806-n	Noun	check-out_procedure, checkout, check	조사
00142665-n	Noun	comparing, comparison	조합, 비교, 대비
00143251-n	Noun	follow-up, followup, review, reexamination	조사
00143536-n	Noun	going-over	조사
00145218-n	Noun	connexion, connection, joining	연쇄, 반연, 접속, 연결, 결선, 접합
00146111-n	Noun	intersection	교차
00146277-n	Noun	bringing_close_together, approximation	접근, 근접
00146443-n	Noun	concatenation	접합, 연쇄, 연결, 접속
00147454-n	Noun	adjunction, junction	접속, 연결, 접합
00148242-n	Noun	ligation	연결
00148653-n	Noun	bonding, soldering	연결, 접합
00148978-n	Noun	linkage	연쇄, 연결
00151497-n	Noun	finding, determination	측정
00151689-v	Verb	lessen, fall, decrease, diminish	다가오
00153809-n	Noun	solving, resolution	해결
00154778-v	Verb	enlarge	커지, 확장하, 확대하
00155143-v	Verb	go_up, climb, rise	등반하, 등산하, 오르
00156625-n	Noun	instigation, fomentation	사주, 선동, 교사
00157462-v	Verb	gather, gain	증가하, 증폭하
00157463-n	Noun	exposure	노출
00157687-n	Noun	overexposure	노출
00159396-n	Noun	corruption	위법행위
00160532-n	Noun	conquest, seduction	정복
00161243-n	Noun	pick, choice, option, selection	선, 옵션, 선발, 취사, 발탁, 고르, 간발, 선별, 발췌, 선택, 엄선
00161888-n	Noun	sampling	발췌
00162632-n	Noun	decision, determination, conclusion	결정, 재정, 결론, 정량, 재결, 완결, 결의, 확정, 내리
00163406-n	Noun	reversal, policy_change, about-face, volte-face	전환
00163779-n	Noun	assignment, naming, appointment, designation	기용, 채용, 선임, 임용, 보직, 임명, 등용
00164152-n	Noun	nomination	선임, 임명
00164345-n	Noun	assignment, assigning	분담, 분부, 할당, 배분, 배당, 배정
00164579-n	Noun	storage_allocation, allocation	분부, 분배, 할당, 배분, 배부, 배당, 배정
00165942-n	Noun	move	짓
00168237-n	Noun	tactical_manoeuvre, maneuver, manoeuvre, tactical_maneuver	조치, 조작, 법
00168658-n	Noun	relocation, move	이사, 이전, 전출
00171249-n	Noun	gimmick, twist, device	책략, 계, 술수, 모함, 술책, 계책, 모략, 기도, 계략, 음모
00171618-n	Noun	fast_one, trick	책략, 속임수, 모계, 계략, 술수, 흉계, 모함, 계책, 술책, 교사, 모략, 간사, 간계
00172598-n	Noun	ruse, artifice	책략, 속임수, 모계, 계략, 술수, 흉계, 모함, 세공, 계책, 너스레, 잔꾀, 함정, 올무, 교사, 모략, 기도, 간계, 술책, 음모, 주책
00172710-n	Noun	agency, means, way	방도, 방법, 도리, 길, 수단, 투, 모양, 법, 수법
00173338-v	Verb	remove, take_away, withdraw, take	철수하, 삭제하, 철거하, 제거하, 공제하, 배제하, 제외하
00173761-n	Noun	tool, instrument	길, 수단, 도구, 수법
00174003-n	Noun	road	길, 방도, 방법, 도, 수법
00174412-n	Noun	measure, step	조치, 처분, 조처
00176618-v	Verb	exenterate	제거하
00177448-n	Noun	expedient	첩경, 술, 방편, 수단, 방도, 편법
00178235-v	Verb	clear_up, clear	소거하
00179060-v	Verb	take_off	제외하
00180054-n	Noun	drawing_lots, sortition, casting_lots	추첨
00180228-n	Noun	resolution	결의, 작심, 결심, 결단, 각오
00180413-n	Noun	acceptation, acceptance, espousal, adoption	동의
00180962-n	Noun	election	선출, 선택
00181373-n	Noun	reelection	재선, 재선거
00181781-n	Noun	election	선거
00182406-v	Verb	add	부가하, 첨가하, 가미하
00182435-n	Noun	general_election	총선, 총선거
00182571-n	Noun	primary, primary_election	예비선거
00183240-n	Noun	by-election, bye-election	보선, 선거
00187710-n	Noun	strike, ten-strike	대성공
00190783-n	Noun	solution	해결
00191142-n	Noun	change	대체, 변환, 전환
00192613-n	Noun	economy, saving	절약, 경제
