#review	#polarity
깔끔하고 무난한 보통 일반적인 모텔입니다~~ 근데 윗방인지 어디방인지 샤워할때 배수구 통해 물 내려가는소리가 엄청크게 들려요.. 그소리때매 깼어요.. 그거 빼곤 다 괜찮습니다!!	1
영등포 모텔중에서 최고 고데기도 있도 1층에 다양한 음료 아이스크림 모두 공짜 객실도 매우 깨끗함 이제 여기 단골해야지	1
수건에서 살짝 이상한 냄새가 나지만, 전체적으로 가격대비 너무 좋았습니다!	1
커피포트랑 드라이기 고데기같은 편의용품들이 잘 구비되어있고 펑소도 잘 되어있어 들어오자마자 기분이 좋아지는 그런 숙소였습니다. 인테리어도 괜찮고 직원분들도 친절하셔서 아주 만족했습니다.	1
괜찮았어요. 자리 찾기 조금 낯설었지만 그 지역에 처음 가면 누구나 조금 헷갈릴 겁니다. 들어가서 다른 방 소리 듣거나 복도 소리도 들려오지 않고 방도 넓은 편이라 푹 쉬다 왔어요. 화장실이 불투명 미닫이였는데 오히려 좋았어요 :) 침대도 넓고 화장실 수압도 좋고 재방문의사 가득해요.	1
청결은 말할것도없고 서비스도 너무너무좋아요 영등포 오면 역시 뉴신라입니다	1
영등포에서 자주 자는데처음와봤네요 청결상태도 좋고 방크기도 적당하고 가격도 괜찮아서 자주 이용 할 것 같습니다.	1
직원 분이 친절하시고 정말 좋앗어요 파티헀는디 즐겁게 잘 놀았습니다	1
먹자골목 가장 초입에 위치해 있어서 찾기 쉽습니다.근처에 맛집, 술집이 밀집해 놀다가 묵기 아주 좋습니다.특별하게 대단한 점은 없는 모텔이지만, 있을것 다있고 청소상태 깨끗합니다.생긴지 오래되지 않은곳이라 시설로 불만은 없습니다.다만 카운터? 사장님? 미소를 바라진 않습니다.인상은 좀 펴주세요. 무서웠습니다...아! 매트리스 아주 괜찮습니다.동가격대 모텔 호텔중 가장 편하게 잤네요.	1
시설 사진보다 실물이 더 마음에 들었어요!!다만 사방에 거울이 있어서 조금 당황하긴했지만!! 그래도 좋았어요!! 서비스도 좋았구요~~ 방온도도 적당했구 화장실두 괜찮았어요!! 영등포가게되면 앞으로 여기만갈려구요~~^^	1
인터넷도 안되고티비도 안되고하수구도 막혀서 물도 안내려가고사진만 번지르르하고 사실상 최악이여서 놀랐음	0
가운에 립스틱자국 옅게 남아있는것만 제외하면 만족합니다 냄새 화장실 시설 만족해용	1
생각보다 깔끔하고 넘따듯해소 좋어요 욕조거 없는게 아쉽지만 욕조슬리퍼 헌쪽이 아에뜯겨서 교체해주새요901호	1
먼지가 좀 있긴 하지만 청결에 만족합니다카운터에는 커피 아이스크림등 먹을게 배치되어 있어 좋아요 보일러도 잘나와서 따뜻하게 있다 갑니다아! 화장실도 바닥에 보일러가!!	1
친구랑 서울 놀러가서 하루 묵었는데 방도 예쁘고 편하게 잘 쉬었다가 갑니다!	1
서울갈때마다 늘자주 애용합니다사장님도 너무 친절하시고음료 서브스도 최고입니다	1
깔끔하고 좋아요. 비누, 스폰지도 구매해야하는 곳 있는데 그냥 구비되어 있어서 좋습니다.	1
시설도좋고 깨끗하고 다좋아요근데 새벽 늦은시간에 파티룸에서 노래방기계로 누가 노래를 불러서 그것땜에 깼네요 정말 짜증났었어요...	1
날씨가 쌀쌀해지니 바닥이 좀 차요 그외엔 정말 좋았습니다	1
시골에서 여기어때 검색하구 왔는데 좋네요병원다녀야해서 한달에 한번정도 올라오는데사장님도 친절하셔서 좋아요주변에 먹을것도많구...	1
수건냄새가 좀 나더라구요... 그것빼고는 뭐... 수건은 교체를 좀 하셔야될것같았어요	1
친절하시고 깨끗하고 다 조았습니다! 위치도 마음에 들었습니다!	1
직원분 너무 친절하셨고, 방도 깔끔해서 좋았습니다!위치도 술집들이랑 가까워서 갔다가 바로 들어와서 잘 수 있어 좋았네요~~	1
솔직히 시설적으로는 좋아요 근데 침대가 뭔가 불편함 잘때 더워서 시트에 땀이 많이나요 많이 뒤척였지만 전반적으로 좋네요	1
사진이랑 달라서 조금 실망햇어요그래도 욕조도 작지않고 깔끔해서 좋았습니다	1
남자친구랑 만날때마다 여기 옵니다 ..영등포에서 여기저기 모텔 다녀보니까 .. 여기가 제일 깨끗하고 좋습니다 .. ❤️	1
시설 청결 및 친절도 모두 만족합니다.주변에 임군치킨 이라고 있던데 매우 맛있더군요참고하세요.	1
전반적으로 다만족처음 들어갔을때 담배냄새 나는건 어쩔수없을것같음	1
처음으로 예약해봤었는데 사장님도친절하시고 내부도 너무깔끔했어요	1
남자직원분은 너무 친절하시고 좋으신데 여자분은 틱틱 거린다해야되나.. 불친절했음 그거빼고 청결 상태며 다 좋았음	1
시설도 깨끗하고 저렴하고 아이스크림도 맛있어용잘쉬다갑니다	1
처음 들어갈 때 냄새가 조금 났지만 금방 적응이 돼서 괜찮았어요	1
너무 좋아서 영등포가면 다시 이용하게 되네요:))) 추천합니다	1
깔끔하고 괜찮았어요 유동인구많은 도로에 있어서 들어가고 나가고 좀 뻘쭘한거빼곤..	1
타임스퀘어와 거리도 가깝고깔끔해서 좋았어요!다만 수압이 좀 약해서 아쉬웠답니다	1
청결에 신경쓰셔야할것같아요 먼지며 머리카락이 여기저기있어서 불편했어요	0
외부에서 본 느낌보다 더 좋았습니다.컴퓨터는 고열로 계속 다운되는데 수리가 필요해보입니다.	1
청결도 이런건 다 좋은데 샤워할때 가끔 찬물이 나와요!!!	1
침구류, 수건, 가운의 청결도를 가장 중요하게 생각하는데!! 좋았어요!!그리고 침대 바로 옆에 테이블이 붙어있어서 야식 먹기 편했어요.....!!!	1
가격이 저렴해서 이용했는데지금까지 간 숙소중 가장 안좋았습니다 들어가자마자 방에어컨 에서 덜덜거리는 소리나서 잠도 잘 못자고 화장실에는 타일 사이에 곰팡이 피어있구요..주변에 보니까 시끄럽고 다 노래방 술집이였는데 정말 부득이하게 가시는분들 아니면 비추입니다...	0
위치상 시끄러울지 알았는데조용하고 화장실 위생상태나 객실위생 상태가 좋았습니다번창하세요	1
시설도 깨끗하고 위치도 좋았습니다평일이라서 저렴하게 이용했어요 무난하고 좋습니다	1
시설좋고 에어컨도 잘 나오고 시원해서 좋았어요친절하셔서 좋습니다^^	1
시설은 깨끗하고 좋았어요.일반실 화장실은 슬라이드 통유리에 불투명 시트지가 붙어있는 형태니 참고하시면 좋을거 같아요.	1
프론트에서도 좋지 않았고 배정받은 방에 들어오자마자 담배냄새가 심하게 나서 안타까웠습니다.그리고 숙박이용할 때도 노래방 소리가 나요	0
가까워서 좋아요~~~ 얼리버드 이용했는데 저렴하게 잘묵고갑니다~~	1
좋아요 시설이 가격에 비해 깨끗하고 좋습니다.냄새도안나고 에어컨도 새거라 잘나오드라구요.할인된 가격으로 좋은 상품이용하고갑니다	1
대실이었는데 방에 들어가니 에어컨이 미리 틀어져있는 센스... 컴퓨터랑 티비 연결도 문제 없이 바로바로 되서 영화도 한 편 봤습니다.	1
너무 친절하고 너무 깔끔하고 좋은휴식 이엿습니다.각종 음료수 아이스크림이 정말 시원하고 좋았습니다	1
1.침대구류는 누렇게 떻있었음.2.머리빗은 남의 머리카락이 한가득.3.다른 세안도구는 있었지만, 일회용 양치도구는 없었음.4.변기는 반쯤 막혀있었음.5.컴퓨터는 자주 멈춤.6.평점 중하	0
여자 사장님은 정~말 감동받을 정도로 너무 친절하셔서 좋은데, 카운터 알바아주머니는 불친절해서 불쾌했어요. 여사장님 덕분에 마음이 풀렸지만요	0
시설깔끔하고좋았어요 그리고 방 업글해주셔서 기분 좋게 이용하다갑니다~~	1
깨끗하고 좋았어요 요즘 더운데 에어컨 틀면 바로 시원해지고 또 이용하고싶어요!	1
